,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time,Unnamed: 0.1
75,SVC,ternary,untransformed,0.642427266,0.308194515,0.538796344,0.610017362,0.453896876,0.654887517,187.5356032,29.33284211,0
90,SVC_b,ternary,untransformed,0.642427266,0.308194515,0.538796344,0.610017362,0.453896876,0.654887517,200.7511425,28.68679094,15
88,SVC,ternary,minkowski,0.641773137,0.30619321,0.53746214,0.608620523,0.450061444,0.653911716,179.7688037,27.81812119,13
89,SVC_b,ternary,minkowski,0.641773137,0.30619321,0.53746214,0.608620523,0.450061444,0.653911716,179.4847383,27.80464716,14
96,LogRegCV_b,ternary,LOF+LDA,0.574107006,0.352939614,0.568626409,0.580348199,0.563643296,0.75249407,441.0710347,0.171187305,3
37,LinearSVC_iso-calib,ternary,LDA,0.610249293,0.302813485,0.53520899,0.595796641,0.491665175,0.746863315,18.71022,0.041278315,
66,SVC,ternary,LOF+LDA-classLOF,0.630811069,0.318272217,0.545514812,0.609115246,0.48497306,0.659136585,293.9922362,43.5578599,
67,SVC_b,ternary,LOF+LDA-classLOF,0.630811069,0.318272217,0.545514812,0.609115246,0.48497306,0.659136585,294.8401038,43.24833436,
87,SGD,ternary,untransformed,0.617960034,0.294412998,0.529608665,0.593349748,0.458784892,0.647284221,13.75240226,0.507700062,12
86,SGD,ternary,minkowski,0.614953058,0.28603718,0.524024787,0.589449158,0.45184983,0.643107795,13.09130793,0.514979553,11
85,RidgeCV,ternary,untransformed,0.612603309,0.287093702,0.524729134,0.592153553,0.469131865,0.64348851,52.33669052,0.519399595,10
39,LinearSVC_b_iso-calib,ternary,LDA,0.609861619,0.302489572,0.534993048,0.595549528,0.491834651,0.746918204,19.27427158,0.042320681,
84,RidgeCV,ternary,minkowski,0.612454605,0.287293677,0.524862451,0.592104143,0.469434545,0.643601308,35.16788454,0.521820354,9
83,LinearSVC,ternary,untransformed,0.612371347,0.294657964,0.529771976,0.594726681,0.480240312,0.646988843,682.6213766,0.508185673,8
82,LinearSVC,ternary,minkowski,0.612168633,0.294728226,0.529818817,0.594616774,0.48046036,0.6470401,656.566056,0.528778362,7
40,SGD_b_iso-calib,ternary,LDA,0.609778968,0.302648824,0.535099216,0.595520782,0.492035117,0.746910996,0.716658831,0.047200108,
107,RidgeCV,ternary,LOF-LDA,0.611336191,0.287170409,0.524780273,0.591538804,0.470399152,0.643486465,0.102568054,0.001996613,14
55,SGD_b,ternary,LDA,0.599753328,0.327895231,0.551930154,0.595258206,0.527168683,0.662213916,0.155511045,0.002051497,
68,RidgeCV,ternary,LOF+LDA-classLOF,0.611261663,0.288186585,0.525457723,0.59189068,0.471979357,0.644001225,35.36236787,0.146200371,
111,RidgeCV,ternary,LOF-LDA-classLOF,0.611139897,0.287827361,0.52521824,0.591673269,0.471522636,0.643782739,0.073305798,0.000399637,0
42,LinearSVC_sig-calib,ternary,LDA,0.608961006,0.299487609,0.53299174,0.594834464,0.491363264,0.746976068,20.35363798,0.024688292,
119,SGD,ternary,LOF-LDA-classLOF,0.610950703,0.293825715,0.529217143,0.592917064,0.476749587,0.646752995,0.091081762,0.000406647,15
105,LinearSVC,ternary,LOF-LDA,0.610597304,0.292872185,0.528581457,0.593671994,0.481223813,0.646076111,6.088405895,0.003122997,12
44,LinearSVC_b_sig-calib,ternary,LDA,0.608765632,0.29953878,0.533025853,0.594761949,0.491726697,0.747010811,19.85915356,0.018899202,
117,SVC_b,ternary,LOF-LDA-classLOF,0.610443029,0.294790311,0.529860207,0.592475606,0.479224788,0.646274574,51.25002542,0.811847401,13
118,SVC,ternary,LOF-LDA-classLOF,0.610443029,0.294790311,0.529860207,0.592475606,0.479224788,0.646274574,50.96046944,0.805542517,14
116,LinearSVC,ternary,LOF-LDA-classLOF,0.610437311,0.293474838,0.528983226,0.593805777,0.482197426,0.646356274,3.783503342,0.003123045,12
103,SVC_b,ternary,LOF-LDA,0.610417258,0.294417173,0.529611449,0.592349374,0.478785099,0.646083988,52.90166516,0.864330959,10
104,SVC,ternary,LOF-LDA,0.610417258,0.294417173,0.529611449,0.592349374,0.478785099,0.646083988,51.58184566,0.81298604,11
69,SGD,ternary,LOF+LDA-classLOF,0.610290215,0.299891067,0.533260711,0.594562128,0.485076157,0.6498355,14.5704833,0.150313711,
45,SGD_b_sig-calib,ternary,LDA,0.608703861,0.299470514,0.532980343,0.594719486,0.491781296,0.746998882,0.970301151,0.02712574,
50,GaussianNB_iso-calib,ternary,LDA,0.607538508,0.302947712,0.535298475,0.594683257,0.496328535,0.748369275,0.118998528,0.046709585,
70,LinearSVC,ternary,LOF+LDA-classLOF,0.60995538,0.295679661,0.530453107,0.594055974,0.484422524,0.647423538,761.4041077,0.154547024,
41,SGD_iso-calib,ternary,LDA,0.6095651,0.300402792,0.533601861,0.594529183,0.488200566,0.746693602,0.656063128,0.044212389,
43,SGD_sig-calib,ternary,LDA,0.608874659,0.29840756,0.532271707,0.594401662,0.489631987,0.74683146,0.850702477,0.019773674,
36,SVC_iso-calib,ternary,LDA,0.610527788,0.300962572,0.533975048,0.59438663,0.487264815,0.739042838,158.8728574,3.489681721,
56,LinearSVC_b,ternary,LDA,0.595248757,0.331364866,0.554243244,0.594186317,0.537401877,0.663503727,6.345189285,0.001594019,
35,LinearSVC,ternary,LDA,0.610966184,0.293337925,0.52889195,0.594083115,0.481824867,0.646284619,6.492171955,0.003524446,
34,SVC,ternary,LDA,0.611844685,0.296577279,0.531051519,0.593889461,0.480753644,0.64719566,68.68854685,0.921414375,
38,SGD,ternary,LDA,0.610242722,0.295779051,0.530519367,0.593863128,0.482837901,0.647617292,0.12454977,0.002412796,
0,SVC_sig-calib,ternary,LDA,0.612556467,0.295860894,0.53057393,0.593571655,0.477321585,0.721282454,155.569166,3.516264963,
101,SGD,ternary,LOF-LDA,0.608168622,0.289564296,0.526376198,0.591156032,0.47776719,0.644528362,0.126126385,0,8
64,GaussianNB,ternary,LDA,0.607983172,0.292722222,0.528481482,0.592766405,0.486487876,0.74826372,0.010671091,0.003736162,
47,GaussianNB_f1,ternary,LDA,0.608060541,0.292616955,0.528411304,0.592759799,0.486233726,0.748279873,2.645939159,0.003122377,
49,GaussianNB_balacc,ternary,LDA,0.607990266,0.292685545,0.52845703,0.592759123,0.486428724,0.748267177,2.716126108,0.002483702,
46,GaussianNB_acc,ternary,LDA,0.608095273,0.292066563,0.528044375,0.592603971,0.485517132,0.748316326,2.561403561,0.001519346,
54,LogRegCV_balacc,ternary,LDA,0.606431613,0.293648429,0.529098952,0.592540203,0.49068467,0.748631603,1.936463833,0.001404476,
99,GaussianNB,ternary,LOF-LDA,0.607629388,0.292399359,0.528266239,0.592481106,0.486366091,0.747436221,0.01439991,0.003733349,6
51,GaussianNB_sig-calib,ternary,LDA,0.606947765,0.294205771,0.529470514,0.592512715,0.488876425,0.746700828,0.33668952,0.033254814,
115,GaussianNB,ternary,LOF-LDA-classLOF,0.607267428,0.293232932,0.528821955,0.59256678,0.487873723,0.747413898,0.003426027,0.001205492,11
53,LogRegCV_f1,ternary,LDA,0.606453529,0.293330984,0.528887323,0.592465305,0.490283332,0.748619098,1.950365067,0.003124046,
52,LogRegCV_acc,ternary,LDA,0.606671288,0.292548483,0.528365655,0.592240236,0.488697459,0.748652993,1.986778975,0.001399088,
57,LogRegCV_b_balacc,ternary,LDA,0.574344405,0.352391606,0.568261071,0.58073326,0.56321877,0.750801074,2.207898903,0.001674795,
33,LogRegCV_b_acc,ternary,LDA,0.574017766,0.35170537,0.56780358,0.58049899,0.562964605,0.750691707,2.253098726,0.002207851,
81,SGD_b,ternary,minkowski,0.602474467,0.339220645,0.55948043,0.598407482,0.535371291,0.667460119,14.65647907,0.516596603,6
32,LogRegCV_b_f1,ternary,LDA,0.573670664,0.351106531,0.567404354,0.580230083,0.562612021,0.75048879,2.158315468,0.003323174,
80,SGD_b,ternary,untransformed,0.598462893,0.342270302,0.561513535,0.595978584,0.540160416,0.668613271,14.68111339,0.510404015,5
71,SGD_b,ternary,LOF+LDA-classLOF,0.595616132,0.336929721,0.557953148,0.594729195,0.539518209,0.666541337,14.81070127,0.153307962,
58,RidgeCV_b_acc,ternary,LDA,0.5741767,0.353244605,0.568829737,0.579963104,0.562561409,0.672304134,0.088413239,0.001757097,
59,RidgeCV_acc,ternary,LDA,0.5741767,0.353244605,0.568829737,0.579963104,0.562561409,0.672304134,0.091158438,0.001000738,
114,SGD_b,ternary,LOF-LDA-classLOF,0.590383122,0.33084683,0.553897886,0.590950109,0.539547496,0.6631295,0.095644999,0.009489441,10
97,SGD_b,ternary,LOF-LDA,0.587622773,0.331592517,0.554395011,0.58941477,0.541799633,0.663272789,0.13797698,0.004435349,4
60,RidgeCV_b_balacc,ternary,LDA,0.5741767,0.353244605,0.568829737,0.579963104,0.562561409,0.672304134,0.100765848,0.001197577,
61,RidgeCV_balacc,ternary,LDA,0.5741767,0.353244605,0.568829737,0.579963104,0.562561409,0.672304134,0.103563023,0.001598501,
62,RidgeCV_b_f1,ternary,LDA,0.5741767,0.353244605,0.568829737,0.579963104,0.562561409,0.672304134,0.143971825,0.003931093,
63,RidgeCV_f1,ternary,LDA,0.5741767,0.353244605,0.568829737,0.579963104,0.562561409,0.672304134,0.154702663,0.002482319,
31,SGD_b_sig-calib,ternary,resampled_LDA,0.566411141,0.34634728,0.56423152,0.572793868,0.557723649,0.744023152,1.30930047,0.023271132,
1,LogRegCV_b_acc,ternary,resampled_LDA,0.565512643,0.344185214,0.562790143,0.572720566,0.557703058,0.745680365,3.21959548,0.004525995,
2,LogRegCV_b_f1,ternary,resampled_LDA,0.565512643,0.344185214,0.562790143,0.572720566,0.557703058,0.745680365,3.236928606,0.002407694,
3,LogRegCV_b_balacc,ternary,resampled_LDA,0.565512643,0.344185214,0.562790143,0.572720566,0.557703058,0.745680365,3.270568037,0.001900959,
72,LogRegCV_b,ternary,LOF+LDA-classLOF,0.574094261,0.353068102,0.568712068,0.580349176,0.563746522,0.752474283,453.3056406,0.146383905,
30,SGD_sig-calib,ternary,resampled_LDA,0.566118337,0.345872721,0.563915147,0.572583801,0.557502288,0.743979001,1.198387384,0.023237324,
6,LogRegCV_f1,ternary,resampled_LDA,0.565020745,0.345330059,0.563553373,0.572162242,0.558197564,0.745806773,2.83530097,0.003728771,
113,RidgeCV_b,ternary,LOF-LDA-classLOF,0.573266145,0.352362764,0.568241843,0.579121568,0.56185925,0.671856379,0.078993893,0.000397205,9
95,RidgeCV_b,ternary,LOF-LDA,0.573174774,0.352275997,0.568183998,0.579030735,0.561806374,0.671808635,0.10603137,0.003124523,2
94,LogRegCV_b,ternary,LOF-LDA,0.573081176,0.350675935,0.56711729,0.57948822,0.562076403,0.749887323,2.218290091,0.000400448,1
112,LogRegCV_b,ternary,LOF-LDA-classLOF,0.57302389,0.35077808,0.567185387,0.579433184,0.562169169,0.749873166,2.132367516,0.003529072,8
79,LogRegCV_b,ternary,untransformed,0.5725908,0.359580413,0.573053609,0.57894247,0.567727217,0.758747658,477.7793508,0.50148406,4
78,RidgeCV_b,ternary,untransformed,0.57091717,0.359983035,0.573322023,0.576847522,0.567094545,0.675036579,37.90185976,0.527700758,3
77,LogRegCV_b,ternary,minkowski,0.570771198,0.357185027,0.571456685,0.577094653,0.565971056,0.758317373,471.9259497,0.508009243,2
73,RidgeCV_b,ternary,LOF+LDA-classLOF,0.570464175,0.357656545,0.57177103,0.576521279,0.565658656,0.673933386,49.08393631,0.160043526,
76,RidgeCV_b,ternary,minkowski,0.570154357,0.358644225,0.572429483,0.575986337,0.566045558,0.674264472,35.38014884,0.515203285,1
7,LogRegCV_balacc,ternary,resampled_LDA,0.565020745,0.345330059,0.563553373,0.572162242,0.558197564,0.745806773,2.971633768,0.007240963,
9,LogRegCV_acc,ternary,resampled_LDA,0.564897111,0.345757167,0.563838111,0.571932473,0.558248354,0.745978505,3.313727617,0.000993156,
4,LinearSVC_sig-calib,ternary,resampled_LDA,0.565244646,0.346022109,0.564014739,0.57177891,0.557642266,0.744309942,54.42281303,0.021175814,
5,LinearSVC_b_sig-calib,ternary,resampled_LDA,0.565173707,0.345923745,0.563949164,0.571710889,0.557579111,0.744313639,54.93489971,0.020811319,
8,LinearSVC_b,ternary,resampled_LDA,0.564998982,0.346446741,0.564297827,0.571694292,0.558299942,0.668619805,16.5186625,0.00497098,
110,GaussianNB,ternary,LOF+LDA,0.507165576,0.225616143,0.483744095,0.511115941,0.473770502,0.677423974,4.359340668,1.031257677,17
109,RidgeCV_b,ternary,LOF+LDA,0.570070854,0.35692628,0.571284187,0.576085436,0.565102264,0.673591129,33.8541512,0.136095476,16
10,LinearSVC,ternary,resampled_LDA,0.564208354,0.34633372,0.56422248,0.570836558,0.557922443,0.668524238,16.46162143,0.001103115,
11,RidgeCV_acc,ternary,resampled_LDA,0.56357291,0.347503478,0.565002319,0.570047745,0.558476051,0.66909697,0.138168144,0.001904488,
12,RidgeCV_b_acc,ternary,resampled_LDA,0.56357291,0.347503478,0.565002319,0.570047745,0.558476051,0.66909697,0.141638947,0.000200081,
13,RidgeCV_balacc,ternary,resampled_LDA,0.56357291,0.347503478,0.565002319,0.570047745,0.558476051,0.66909697,0.170960569,0.001202965,
14,RidgeCV_b_balacc,ternary,resampled_LDA,0.56357291,0.347503478,0.565002319,0.570047745,0.558476051,0.66909697,0.177979851,0.000400782,
15,RidgeCV_b_f1,ternary,resampled_LDA,0.56357291,0.347503478,0.565002319,0.570047745,0.558476051,0.66909697,0.237889957,0.003726959,
16,RidgeCV_f1,ternary,resampled_LDA,0.56357291,0.347503478,0.565002319,0.570047745,0.558476051,0.66909697,0.254888248,0.004113054,
17,SGD_b_iso-calib,ternary,resampled_LDA,0.563060714,0.349083298,0.566055532,0.569553741,0.559130944,0.743522577,0.985320902,0.044586992,
18,SGD_iso-calib,ternary,resampled_LDA,0.562970571,0.34925513,0.566170087,0.569539233,0.559369336,0.743516194,0.939503288,0.042958975,
19,LinearSVC_b_iso-calib,ternary,resampled_LDA,0.56192058,0.349109084,0.566072723,0.56852075,0.559281517,0.743873763,53.41248941,0.040695047,
