,fold_num,target_score,steps,fit_time,predict_time,accuracy,adjusted_balanced_accuracy,f1_weighted,geometric_mean,roc_auc_ovo,roc_auc_ovr,roc_auc_ovo_weighted,roc_auc_ovr_weighted
0,0,accuracy,"[('select_before', SelectKBest(k=5)), ('clf', CalibratedClassifierCV(base_estimator=BaggingClassifier(base_estimator=GaussianNB(),
                                                        n_jobs=-1,
                                                        random_state=2021,
                                                        verbose=1),
                       method='isotonic', n_jobs=-1))]",4.529800653457642,0.20253205299377441,0.6619979250037054,0.3133519825615676,0.6302667439184811,0.46810132949199246,0.7747857829479958,0.7655444042696292,0.7642436752523003,0.7478960902062072
1,0,balanced_accuracy,"[('select_before', SelectKBest(k=5)), ('clf', GaussianNB())]",2.343792200088501,0.014603137969970703,0.6579220394249296,0.3545208026066937,0.6383051660158795,0.5158159909008768,0.7743654308576398,0.7651477824227625,0.7637239714647357,0.7470493468339597
2,0,f1_weighted,"[('select_before', SelectKBest(k=5)), ('clf', CalibratedClassifierCV(base_estimator=BaggingClassifier(base_estimator=GaussianNB(),
                                                        n_jobs=-1,
                                                        random_state=2021,
                                                        verbose=1),
                       method='isotonic', n_jobs=-1))]",4.529800653457642,0.20253205299377441,0.6619979250037054,0.3133519825615676,0.6302667439184811,0.46810132949199246,0.7747857829479958,0.7655444042696292,0.7642436752523003,0.7478960902062072
3,0,geometric_mean,"[('select_before', SelectKBest(k=5)), ('clf', GaussianNB())]",2.343792200088501,0.014603137969970703,0.6579220394249296,0.3545208026066937,0.6383051660158795,0.5158159909008768,0.7743654308576398,0.7651477824227625,0.7637239714647357,0.7470493468339597
4,0,roc_auc_ovo,"[('select_before', SelectKBest(k=4)), ('clf', CalibratedClassifierCV(base_estimator=BaggingClassifier(base_estimator=GaussianNB(),
                                                        n_jobs=-1,
                                                        random_state=2021,
                                                        verbose=1),
                       method='isotonic', n_jobs=-1))]",2.5908925533294678,0.20227599143981934,0.6641470283088781,0.3138168734824411,0.6307239190599178,0.46310746894402927,0.754503341609789,0.7514508118286795,0.7495686525085667,0.7392049835401889
5,0,roc_auc_ovr,"[('select_before', SelectKBest(k=5)), ('clf', CalibratedClassifierCV(base_estimator=BaggingClassifier(base_estimator=GaussianNB(),
                                                        n_jobs=-1,
                                                        random_state=2021,
                                                        verbose=1),
                       method='isotonic', n_jobs=-1))]",4.529800653457642,0.20253205299377441,0.6619979250037054,0.3133519825615676,0.6302667439184811,0.46810132949199246,0.7747857829479958,0.7655444042696292,0.7642436752523003,0.7478960902062072
6,0,roc_auc_ovo_weighted,"[('select_before', SelectKBest(k=5)), ('clf', CalibratedClassifierCV(base_estimator=BaggingClassifier(base_estimator=GaussianNB(),
                                                        n_jobs=-1,
                                                        random_state=2021,
                                                        verbose=1),
                       method='isotonic', n_jobs=-1))]",4.529800653457642,0.20253205299377441,0.6619979250037054,0.3133519825615676,0.6302667439184811,0.46810132949199246,0.7747857829479958,0.7655444042696292,0.7642436752523003,0.7478960902062072
7,0,roc_auc_ovr_weighted,"[('select_before', SelectKBest(k=5)), ('clf', CalibratedClassifierCV(base_estimator=BaggingClassifier(base_estimator=GaussianNB(),
                                                        n_jobs=-1,
                                                        random_state=2021,
                                                        verbose=1),
                       method='isotonic', n_jobs=-1))]",4.529800653457642,0.20253205299377441,0.6619979250037054,0.3133519825615676,0.6302667439184811,0.46810132949199246,0.7747857829479958,0.7655444042696292,0.7642436752523003,0.7478960902062072
0,1,accuracy,"[('select_before', SelectKBest(k=5)), ('clf', BaggingClassifier(base_estimator=CalibratedClassifierCV(base_estimator=GaussianNB(),
                                                        method='isotonic',
                                                        n_jobs=-1),
                  n_jobs=-1, random_state=2022, verbose=1))]",4.6319684982299805,0.16718626022338867,0.6520305449496703,0.3217126720547703,0.6341331717156159,0.5087067018708037,0.7915792932224189,0.7796729720324672,0.7771317618004544,0.7573615365874904
1,1,balanced_accuracy,"[('select_before', SelectKBest(k=5)), ('clf', BaggingClassifier(base_estimator=GaussianNB(), n_jobs=-1, random_state=2022,
                  verbose=1))]",2.562520980834961,0.061533451080322266,0.642485248177716,0.36218785634552847,0.6362749973638462,0.5540339076593819,0.7921621592517131,0.7800521598813114,0.7774905961416828,0.7571959148558212
2,1,f1_weighted,"[('select_before', SelectKBest(k=5)), ('clf', BaggingClassifier(base_estimator=CalibratedClassifierCV(base_estimator=GaussianNB(),
                                                        method='isotonic',
                                                        n_jobs=-1),
                  n_jobs=-1, random_state=2022, verbose=1))]",4.6319684982299805,0.16718626022338867,0.6520305449496703,0.3217126720547703,0.6341331717156159,0.5087067018708037,0.7915792932224189,0.7796729720324672,0.7771317618004544,0.7573615365874904
3,1,geometric_mean,"[('select_before', SelectKBest(k=5)), ('clf', BaggingClassifier(base_estimator=GaussianNB(), n_jobs=-1, random_state=2022,
                  verbose=1))]",2.562520980834961,0.061533451080322266,0.642485248177716,0.36218785634552847,0.6362749973638462,0.5540339076593819,0.7921621592517131,0.7800521598813114,0.7774905961416828,0.7571959148558212
