,param_base_estimator__alpha,mean_test_score
0,87110.91880089794,-0.7176791297339575
1,249038.06415225661,-0.7172256393973424
2,249087.28241846812,-0.7172254178900959
3,249211.36803378124,-0.7172234268499058
4,249375.08292437872,-0.7172258926145163
5,249408.7350351852,-0.7172279075119226
6,249449.312785755,-0.7172285212614241
7,249514.4607867777,-0.7172269184598177
8,249894.61330040128,-0.7172213008228872
9,249896.3235750196,-0.7172204383918459
10,249945.69701031796,-0.7172187364541067
11,250174.09054753333,-0.7172261190136802
12,250202.9805124122,-0.7172278680932156
13,250211.3496470588,-0.7172288561926189
14,250326.95264183468,-0.7172303022712658
15,250338.5794582995,-0.7172300883231775
16,250357.0576825306,-0.7172302745618019
17,250396.53374909706,-0.7172301015577622
18,250452.89242362202,-0.7172257980053546
19,250469.9768874594,-0.7172262567182621
20,250503.7061119466,-0.7172273010856688
21,250923.260695188,-0.7172307296753262
22,249038.21389574494,-0.7172256688304226
23,249087.61712749372,-0.7172254841599541
24,249212.12574895253,-0.7172234568090954
25,249376.303920077,-0.7172257485300383
26,249410.03790478857,-0.7172282973694137
27,249450.7083263854,-0.7172283012600817
28,249515.9912761564,-0.717226758203377
29,249896.5916489606,-0.7172203328678257
30,249898.30262986344,-0.7172201218687253
31,249947.69140681645,-0.7172187427149941
32,250176.0290377908,-0.7172258853202843
33,250204.89707801625,-0.7172282195980639
34,250213.25923863734,-0.7172285995446124
35,250328.73729471295,-0.71722986634007
36,250340.3485937854,-0.7172297500803029
37,250358.80104705028,-0.7172299580481869
38,250398.21749536318,-0.7172302873690755
39,250454.4802873689,-0.7172254345213364
40,250471.53318490382,-0.7172268086920801
41,250505.19667441715,-0.7172272575634636
42,250923.5551506164,-0.7172307802395468
