iter	RMSE
0	0.6266619709
1	0.6167256665
2	0.6068670512
3	0.5988155684
4	0.5898825654
5	0.5812794883
6	0.5734618772
7	0.5669968039
8	0.5584126632
9	0.5504828243
10	0.5420522605
11	0.533359401
12	0.5259014153
13	0.518455245
14	0.5104729885
15	0.5023805409
16	0.4961230911
17	0.4906310388
18	0.4832184682
19	0.4764873159
20	0.4708933929
21	0.465476406
22	0.4594918291
23	0.4530011713
24	0.4474974665
25	0.4419740946
26	0.4364005911
27	0.4300242259
28	0.4257093479
29	0.420747844
30	0.4154145404
31	0.4093729167
32	0.4045303389
33	0.3990122364
34	0.3938698755
35	0.389212027
36	0.3839643874
37	0.3794580963
38	0.3755590535
39	0.3712743181
40	0.3658978324
41	0.3606467939
42	0.3561685942
43	0.3513362735
44	0.3469279011
45	0.3421335536
46	0.3381858372
47	0.333466522
48	0.3295607975
49	0.3259422975
50	0.3220670314
51	0.3177819166
52	0.3139963498
53	0.3100201694
54	0.3062507073
55	0.3025433493
56	0.2987453554
57	0.2953494205
58	0.2925811498
59	0.2898961532
60	0.286014391
61	0.2830447141
62	0.2799957931
63	0.2764420669
64	0.2734650726
65	0.2707065493
66	0.2678526821
67	0.2654239811
68	0.2619919302
69	0.2598005572
70	0.2562977005
71	0.2538532076
72	0.2506516242
73	0.2481987531
74	0.2453892926
75	0.2424390952
76	0.2397045982
77	0.2371388229
78	0.2349917463
79	0.2321671512
80	0.2297051828
81	0.2280117699
82	0.225732024
83	0.2229681842
84	0.2213357998
85	0.2187222098
86	0.2169192883
87	0.2146317162
88	0.2123820154
89	0.210294406
90	0.2088141694
91	0.2064063392
92	0.2045954705
93	0.2027611679
94	0.2007838568
95	0.1984899132
96	0.1967739344
97	0.1950899113
98	0.1930990406
99	0.1911039284
100	0.1893882772
101	0.188123406
102	0.1865964043
103	0.1847721322
104	0.1834609404
105	0.1819492597
106	0.1804161608
107	0.179232818
108	0.1778317344
109	0.1764355322
110	0.1748611184
111	0.1733717259
112	0.1716761749
113	0.1704844888
114	0.1689165818
115	0.1680444539
116	0.166950336
117	0.1657706719
118	0.1644564843
119	0.1635382767
120	0.1620026838
121	0.1609192603
122	0.159663575
123	0.1586192821
124	0.156955769
125	0.1556906003
126	0.1544155577
127	0.1530065309
128	0.1516541387
129	0.15059807
130	0.1492503919
131	0.1477819041
132	0.1466183658
133	0.1458292692
134	0.1449039251
135	0.1440291974
136	0.1428882835
137	0.1419383026
138	0.14097316
139	0.1400231688
140	0.1390276046
141	0.1377497988
142	0.1366488656
