iter	Passed	Remaining
0	145	145461
1	149	74539
2	152	50682
3	156	39041
4	160	31991
5	164	27199
6	167	23723
7	170	21177
8	173	19151
9	177	17544
10	180	16212
11	183	15142
12	187	14267
13	190	13403
14	192	12617
15	193	11917
16	195	11299
17	196	10742
18	198	10257
19	200	9803
20	201	9397
21	202	9009
22	203	8654
23	204	8331
24	205	8028
25	206	7753
26	207	7493
27	209	7255
28	210	7034
29	211	6825
30	212	6634
31	213	6448
32	214	6272
33	215	6110
34	215	5954
35	216	5807
36	217	5665
37	218	5532
38	219	5405
39	220	5287
40	221	5173
41	222	5066
42	223	4970
43	224	4880
44	225	4788
45	226	4703
46	227	4622
47	229	4546
48	230	4468
49	231	4391
50	231	4316
51	232	4240
52	233	4170
53	234	4103
54	235	4042
55	236	3983
56	237	3925
57	238	3872
58	239	3820
59	240	3765
60	241	3713
61	242	3661
62	242	3612
63	243	3565
64	244	3519
65	245	3474
66	246	3430
67	247	3389
68	248	3349
69	249	3310
70	250	3272
71	250	3234
72	251	3199
73	253	3165
74	253	3130
75	254	3095
76	255	3062
77	256	3030
78	257	2998
79	258	2967
80	258	2936
81	259	2906
82	260	2877
83	261	2848
84	262	2821
85	262	2793
86	263	2768
87	264	2743
88	265	2721
89	267	2702
90	268	2678
91	269	2655
92	269	2632
93	270	2610
94	271	2589
95	272	2568
96	273	2547
97	274	2525
98	275	2505
99	276	2484
100	277	2465
101	277	2446
102	279	2430
103	280	2413
104	281	2396
105	282	2379
106	282	2361
107	283	2343
108	284	2327
109	285	2309
110	286	2293
111	287	2276
112	287	2260
113	288	2244
114	289	2230
115	290	2216
116	292	2207
117	293	2195
118	294	2183
119	295	2168
120	296	2155
121	297	2141
122	298	2127
123	299	2113
124	300	2103
125	301	2091
126	302	2079
127	303	2069
128	304	2058
129	306	2048
130	307	2038
131	308	2026
132	309	2014
133	310	2003
134	310	1991
135	311	1980
136	312	1969
137	313	1958
138	314	1947
139	315	1936
140	316	1926
141	317	1917
142	318	1908
143	319	1899
144	320	1889
145	321	1879
146	322	1869
147	323	1860
148	323	1849
149	325	1843
150	326	1834
151	327	1826
152	328	1816
153	328	1807
154	329	1798
155	330	1789
156	331	1780
157	332	1772
158	333	1764
159	334	1755
160	335	1747
161	336	1738
162	337	1730
